"data","dt_evoluca","n"
"2020-05-18",2020-04-18,281
"2020-05-18",2020-04-17,245
"2020-05-18",2020-04-16,251
"2020-05-18",2020-04-15,249
"2020-05-18",2020-04-14,220
"2020-05-18",2020-04-13,233
"2020-05-18",2020-04-12,227
"2020-05-18",2020-04-11,183
"2020-05-18",2020-04-10,202
"2020-05-18",2020-04-09,170
"2020-05-18",2020-04-08,171
"2020-05-18",2020-04-07,178
"2020-05-18",2020-04-06,160
"2020-05-18",2020-04-05,153
"2020-05-18",2020-04-04,155
"2020-05-18",2020-04-03,144
"2020-05-18",2020-04-02,123
"2020-05-18",2020-04-01,108
"2020-05-18",2020-03-31,104
"2020-05-18",2020-03-30,87
"2020-05-18",2020-03-29,69
"2020-05-18",2020-03-28,71
"2020-05-18",2020-03-27,58
"2020-05-18",2020-03-26,49
"2020-05-18",2020-03-25,36
"2020-05-18",2020-03-24,36
"2020-05-18",2020-03-23,34
"2020-05-18",2020-03-22,18
"2020-05-18",2020-03-21,15
"2020-05-18",2020-03-20,17
"2020-05-18",2020-03-19,8
"2020-05-18",2020-03-18,8
"2020-05-18",2020-03-17,4
"2020-05-18",2020-03-16,3
"2020-05-18",2020-03-15,1
"2020-05-18",2020-03-12,1
"2020-05-04",2020-05-04,13
"2020-05-04",2020-05-03,52
"2020-05-04",2020-05-02,70
"2020-05-04",2020-05-01,86
"2020-05-04",2020-04-30,103
"2020-05-04",2020-04-29,150
"2020-05-04",2020-04-28,175
"2020-05-04",2020-04-27,167
"2020-05-04",2020-04-26,201
"2020-05-04",2020-04-25,177
"2020-05-04",2020-04-24,188
"2020-05-04",2020-04-23,213
"2020-05-04",2020-04-22,209
"2020-05-04",2020-04-21,201
"2020-05-04",2020-04-20,229
"2020-05-04",2020-04-19,190
"2020-05-04",2020-04-18,212
"2020-05-04",2020-04-17,186
"2020-05-04",2020-04-16,196
"2020-05-04",2020-04-15,201
"2020-05-04",2020-04-14,183
"2020-05-04",2020-04-13,198
"2020-05-04",2020-04-12,193
"2020-05-04",2020-04-11,160
"2020-05-04",2020-04-10,180
"2020-05-04",2020-04-09,132
"2020-05-04",2020-04-08,159
"2020-05-04",2020-04-07,163
"2020-05-04",2020-04-06,151
"2020-05-04",2020-04-05,143
"2020-05-04",2020-04-04,139
"2020-05-04",2020-04-03,126
"2020-05-04",2020-04-02,106
"2020-05-04",2020-04-01,93
"2020-05-04",2020-03-31,86
"2020-05-04",2020-03-30,83
"2020-05-04",2020-03-29,63
"2020-05-04",2020-03-28,65
"2020-05-04",2020-03-27,52
"2020-05-04",2020-03-26,42
"2020-05-04",2020-03-25,33
"2020-05-04",2020-03-24,32
"2020-05-04",2020-03-23,36
"2020-05-04",2020-03-22,17
"2020-05-04",2020-03-21,13
"2020-05-04",2020-03-20,14
"2020-05-04",2020-03-19,7
"2020-05-04",2020-03-18,5
"2020-05-04",2020-03-17,3
"2020-05-04",2020-03-16,3
"2020-05-04",2020-03-15,1
"2020-05-04",2020-03-12,1
